start;end;corpus;sent_id;left;node;right;node_sentences;pref;suff;morphind;root;root_pos;affix;schema;clause_type;subordinate_clause_type;frame;syntactic_transitivity;dobj_syntax;dobj_role;dobj_animacy;dobj_concreteness;recipient_animacy;recipient_pronominality;recipient_syntax;agent_encoded;theme_encoded;recipient_encoded;notes;agent_pronominality;agent_animacy
119;127;ind_web_2012_1M;166830;1.000,- Contoh : member baru yang Anda sponsori tersebut saat daftar ambil 3 paket GOLD atau ambil PAKET PLATINUM atau;membeli;produk tambahan lain maka BONUS FS anda akan LEBIH BESAR!;1.000,- Contoh : member baru yang Anda sponsori tersebut saat daftar ambil 3 paket GOLD atau ambil PAKET PLATINUM atau<m>membeli</m>produk tambahan lain maka BONUS FS anda akan LEBIH BESAR!;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;main;;;monotransitive;np;theme;inanimate;concrete;;;NA;FALSE;;;;;
197;205;ind_newscrawl_2011_1M;119488;Menurut dia pada Antara, setelah menabung kelompok masyarakat pengguna jaringan internet di Indonesia berencana menghabiskan uang mereka untuk liburan (36 persen), investasi saham (31 persen), dan;membeli;produk teknologi baru (29 persen).;Menurut dia pada Antara, setelah menabung kelompok masyarakat pengguna jaringan internet di Indonesia berencana menghabiskan uang mereka untuk liburan (36 persen), investasi saham (31 persen), dan<m>membeli</m>produk teknologi baru (29 persen).;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;adverbial;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;;np;animate
63;71;ind_web_2011_300K;257787;Menggunakan layanan HostingTangguh untuk kegiatan menjual atau;membeli;produk, barang atau layanan yang dapat merugikan pihak lain atau untuk tujuan penipuan dengan sistem hyip, skema piramida, money game, atau surat berantai.;Menggunakan layanan HostingTangguh untuk kegiatan menjual atau<m>membeli</m>produk, barang atau layanan yang dapat merugikan pihak lain atau untuk tujuan penipuan dengan sistem hyip, skema piramida, money game, atau surat berantai.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;main;;;monotransitive;np;theme;inanimate;concrete;;;NA;FALSE;;;;;
131;139;ind_newscrawl_2011_1M;281783;Apakah memang kulitas yang diberikan the Executive telah menurun? atau memang itu adalah strategi pasar agar konsumen lebih sering;membeli;produknya (atau beralih ke penyedia lain).;Apakah memang kulitas yang diberikan the Executive telah menurun? atau memang itu adalah strategi pasar agar konsumen lebih sering<m>membeli</m>produknya (atau beralih ke penyedia lain).;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;adverbial;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;;np;animate
34;42;ind_newscrawl_2016_1M;511529;Membeli asuransi kesehatan adalah;membeli;proteksi.;Membeli asuransi kesehatan adalah<m>membeli</m>proteksi.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;main;;;monotransitive;np;theme;inanimate;abstract;;;NA;FALSE;;;;;
38;46;ind_newscrawl_2012_1M;860454;Ini karena kemampuan masyarakat untuk;membeli;pun terbatas.;Ini karena kemampuan masyarakat untuk<m>membeli</m>pun terbatas.;me-;NA;meN+beli<v>_VSA;beli;v;me-;intransitive;subordinate;adverbial;;intransitive;NA;NA;;;;;NA;TRUE;FALSE;;;np-possessor;animate
26;34;ind_newscrawl_2012_1M;210716;Ditanya soal hemat dengan;membeli;rokok satu bungkus dengan batangan, Ali hanya tersenyum.;Ditanya soal hemat dengan<m>membeli</m>rokok satu bungkus dengan batangan, Ali hanya tersenyum.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;adverbial;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;;proper-name;animate
148;156;ind-id_web_2013_1M;590113;Namun di masyarakat sekarang yang ada bukan hanya pembeli pertama ingin menjadikannya sebagai tempat tinggal, masih banyak lagi individu yang ingin;membeli;rumah kedua, ketiga untuk sarana investasi jangka panjang.;Namun di masyarakat sekarang yang ada bukan hanya pembeli pertama ingin menjadikannya sebagai tempat tinggal, masih banyak lagi individu yang ingin<m>membeli</m>rumah kedua, ketiga untuk sarana investasi jangka panjang.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;subordinate;complement_clause;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;;np;animate
32;40;ind_newscrawl_2011_1M;54904;Untuk bisa tetap berjualan, Edi;membeli;sapi dari peternak sapi di Natar, Lampung Selatan.;Untuk bisa tetap berjualan, Edi<m>membeli</m>sapi dari peternak sapi di Natar, Lampung Selatan.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;main;;;monotransitive;np;theme;animate;concrete;;;NA;TRUE;;;source/seller_encoded;proper-name;animate
36;44;ind_newscrawl_2012_1M;722175;Oleh karena itu, demi mereka, David;membeli;sebuah pesa-wat jet seharga Rp151,2 miliar.;Oleh karena itu, demi mereka, David<m>membeli</m>sebuah pesa-wat jet seharga Rp151,2 miliar.;me-;NA;meN+beli<v>_VSA;beli;v;me-;theme_obj_cxn;main;;;monotransitive;np;theme;inanimate;concrete;;;NA;TRUE;;;rate_encoded;proper-name;animate
